year,Three wishes
1921,4.170935620693785e-09
1922,3.8982073045725125e-09
1923,7.15532176366805e-09
1924,7.018938097402838e-09
1925,6.6713711063418455e-09
1926,6.248710755179283e-09
1927,6.40857662175571e-09
1928,6.318753234931965e-09
1929,8.053915153841525e-09
1930,5.02997856065081e-09
1931,5.033748307070596e-09
1932,4.981502416916734e-09
1933,5.248524028088144e-09
1934,5.5788377092572514e-09
1935,4.919716887842794e-09
1936,3.025890791898332e-09
1937,2.8666759125225585e-09
1938,3.5308514207648453e-09
1939,3.9970933864351215e-09
1940,4.019407092873248e-09
1941,3.286049940090915e-09
1942,3.774369039533099e-09
1943,4.469512839198688e-09
1944,4.606875151199777e-09
1945,4.160084546686196e-09
1946,4.891714858576027e-09
1947,5.385348690799065e-09
1948,6.7981410183699205e-09
1949,7.969710526443765e-09
1950,8.081858404729303e-09
1951,8.107969755905792e-09
1952,7.655761136149408e-09
1953,7.556260664795137e-09
1954,7.00672964093485e-09
1955,7.195428855918554e-09
1956,5.6350562945998004e-09
1957,5.4698913969681536e-09
1958,6.243435260852184e-09
1959,6.729934546153718e-09
1960,6.237581467211888e-09
1961,5.90212326631193e-09
1962,4.346074357540277e-09
1963,4.583257107171335e-09
1964,4.203497898964364e-09
1965,3.5136984750343866e-09
1966,3.0498340043903583e-09
1967,2.623726949987518e-09
1968,2.522649660592029e-09
1969,2.6775232983159267e-09
1970,2.671295327795674e-09
1971,2.4170394098886406e-09
1972,2.205432677751925e-09
1973,2.2652727154388278e-09
1974,2.143441678116785e-09
1975,2.1414372180268107e-09
1976,2.015900478293174e-09
1977,1.7133465915871886e-09
1978,1.8065623758849775e-09
1979,1.979274379314079e-09
1980,1.924529599176391e-09
1981,1.7731230769360958e-09
1982,1.6971024109833722e-09
1983,1.737228266002993e-09
1984,1.5997945508010908e-09
1985,1.5406180934160067e-09
1986,1.6261250917232977e-09
1987,1.5807684367834846e-09
1988,1.7864823588707525e-09
1989,1.914529931415895e-09
1990,2.001320855070178e-09
1991,2.1987995551293285e-09
1992,2.253353424487768e-09
1993,2.290036398606381e-09
1994,2.6672856621802664e-09
1995,3.2331504457821278e-09
1996,3.432265487696944e-09
1997,3.3431839836189123e-09
1998,3.403935514409032e-09
1999,3.5796293865583297e-09
2000,3.6371497559782385e-09
2001,3.4836749041033954e-09
2002,3.272066776257735e-09
2003,3.354240694721154e-09
2004,3.6682402195152365e-09
2005,3.753681968429337e-09
2006,3.947697311902841e-09
2007,3.942065689750101e-09
2008,4.160769697035351e-09
2009,4.2472899483162305e-09
2010,4.2520486179650365e-09
2011,4.255020462957353e-09
2012,4.443578489292983e-09
2013,4.39466498112852e-09
2014,4.3171890824161045e-09
2015,4.098443838275654e-09
2016,4.024664062336163e-09
2017,4.050497826035837e-09
2018,4.014301735466575e-09
2019,3.788381219838044e-09
